Date / Time	City	State	Shape	Duration	Summary	Posted
12/15/21 20:00	Morenci	AZ	Fireball	5 minutes	4 different sets of 10-20 fireballs traveling downward at a slow speed	12/19/21
12/14/21 18:30	Gilbert	AZ	Changing	10 minutes	I saw a orb like light changing colors and moving back and forth	12/19/21
12/3/21 19:00	Phoenix	AZ	Formation	
Set of about 15 round white lights moving together as if connected southwest to northeast.	12/19/21
12/3/21 18:30	Sedona	AZ	

50 or more lights miles long in a line across the night sky. Lasted a couple minutes then disappeared from the head to tail systematica	12/19/21
12/3/21 18:30	Phoenix	AZ	Rectangle	
Dog barked, I sighted object. It flew directly over me. Object long and slender, had lights, 100 yds long. .	12/19/21
12/3/21 18:30	Phoenix	AZ	Cigar	
Long straight shining flying object	12/19/21
12/2/21 19:30	Phoenix	AZ	Cigar	
The object was cigar/pencil shaped, and was glowing yellow with what appeared to be a line of discrete solid yellow lights.	12/19/21
12/2/21 18:30	Phoenix	AZ	Fireball	
Orange fireball moving East to West	12/19/21
12/2/21 18:30	Pinetop	AZ	Circle	
It was a bright light that stayed beside my cat for about 10 minute then disappeared. About 10 minutes later it was in front of me	12/19/21
11/26/21 19:30	Chandler	AZ	Circle	
Fireball that changed direction	12/19/21
11/25/21 18:30	Surprise	AZ	Circle	
It was bright oval shape, I have a vidio of 2	12/19/21
11/1/21 20:00	Tucson	AZ	Fireball	5 minutes	Over 30 ufo seen over south tucson on nov 1st 2021	11/15/21
10/31/21 21:25	Tucson	AZ	Sphere	1 minute	Halloween Night - burning bright orange UFO in the Southwest Desert.	11/15/21
10/31/21 21:00	Surprise	AZ	
2 minutes	About 9:00 pm Local time saw a bright Fluorescent orange object coming from the south west heading towards the Northeast. Made no noise	11/15/21
10/30/21 20:00	Tucson	AZ	Disk	5 minutes	Grey disk like craft no sound no lights moving around 300 feet altitude at high rate of speed westbound just 100 feet southerly of Gran	11/15/21
10/29/21 19:00	Phoenix	AZ	Fireball	
Bright fireball object moving in sky	12/19/21
10/23/21 19:10	Flagstaff	AZ	Light	Nightly	Nightly I am observing multicolored flashing formation lights that are red,blue and green.They have been in the sky over Flagstaff for	10/26/21
10/17/21 22:39	Chandler/Maricopa County	AZ	Formation	>1 hour	Formation of lights	10/19/21
10/16/21 06:20	Wellton	AZ	Fireball	7 seconds	Green ball of flame fizzles out over Wellton, Arizona.	10/26/21
10/15/21 15:45	Phoenix	AZ	Oval	5 minutes	Metallic spherical / star shaped craft seen while looking up towards south mountains in north Phoenix area in mid afternoon.	10/26/21
9/28/21 04:52	Star Valley	AZ	

MADAR Node 53	10/19/21
9/16/21 19:00	Tucson	AZ	Formation	17 minutes	Strange circle formation of lights observed above Tucson, AZ hovering and moving northeast towards Oracle, AZ.	10/19/21
9/13/21 21:00	Litchfield park	AZ	Circle	30	West valley sighting heading 270 out past the white tanks rotating stationary ball of multiply vibrant colors at high alt.	10/19/21
9/13/21 03:15	Apache Junction	AZ	Disk	Still happening	At about 15 miles distance we observed a huge saucer with multitudes of lights ascending and then disappearing into the craft.	10/19/21
9/3/21 19:01	Star Valley	AZ	

MADAR Node 53	10/19/21
9/2/21 05:35	Gilbert	AZ	Cigar	1 minute	Ufo monitoring power grid and electricity.	9/7/21
8/26/21 20:45	Star Valley	AZ	

MADAR Node 53	10/19/21
8/25/21 02:35	Tonopah	AZ	Disk	20 minutes	many disks/ lights seen through night detection, then an actual large dish object appears	9/7/21
8/22/21 08:46	Show Low	AZ	

MADAR Node 74	10/19/21
8/20/21 07:40	Sahuarita	AZ	Oval	10-20 seconds	Silver oval shape-changing object seen west of Sahuarita, Arizona in broad daylight	9/7/21
8/11/21 00:01	Star Valley	AZ	

MADAR Node 53	10/19/21
8/9/21 03:40	Star Valley	AZ	

MADAR Node 53	10/19/21
8/3/21 22:00	Buckeye	AZ	Fireball	1 hour +	Sighted south of palo verde power plant in the buckeye hills area.

Orange glowing balls all flying about the same hieght above grou	8/16/21
8/3/21 05:13	Queen Creek	AZ	Changing	2 minutes	Shape shifting ball in sky, Black ball with legs flew on neighbors roof fast and ran across roof, Shape shifting saucer or saucers	8/16/21
8/2/21 20:45	Gilbert	AZ	Formation	3 Minutes	Light pattern simular to the Phoenix lights.	8/16/21
7/30/21 20:00	Tucson	AZ	Other	20+min	Was taking storm photos, and never saw objects, till reviewing photos I noticed a streek in the sky, not lightning, and then two green	8/16/21
7/21/21 05:27	Star Valley	AZ	

MADAR Node 53	8/16/21
7/19/21 14:48	Star Valley	AZ	

MADAR Node 53	8/16/21
7/13/21 03:30	Tonopah	AZ	Light	3 hours	Seen about 10 ufos in Tonopah Arizona.	9/7/21
7/4/21 20:10	Phoenix	AZ	Changing	2-3 min	3 bright sphere / orb objects over Phoenix Metro area	8/16/21
7/4/21 03:45	Peoria	AZ	Triangle	10 seconds	4 dim lights in shape of triangle	8/16/21
6/20/21 21:10	Gold Canyon	AZ	Light	1 second	Huge ball of light zoomed over Gold Canyon	8/16/21
6/10/21 20:05	Anthem	AZ	Unknown	45 minutes	Several lights that moved slowly in same area for 45 minutes, flashing colors, disappearing, reappearing, splitting in two.	7/31/21
6/10/21 18:30	Heber	AZ	Light	Half hour	One hot-air balloon shaped object in the sky at dusk that seemed to glow on its own. It moved slowly away and faded unto the night time	7/31/21
6/8/21 19:00	Peoria	AZ	Teardrop	45 min	Super bright inverted teardrop in western sky for over 30 minutes	7/31/21
6/2/21 21:15	Tucson	AZ	Unknown	2 minutes	Ball of light vanishes in the SE	7/31/21
5/29/21 21:20	Stoneman Lake	AZ	Circle	5 minutes	Slow 20 plus circular lights in straight formation disappearing into each other. Haze around each circular light.	7/31/21
